symbol,instrument_type,security_type,market_status,total_volume,aum_size,average,change,eps,exchange,exercise_price,exercise_ratio,high,implied_volatility,inav,intrinsic_value,last,last_trading_date,low,maturity_date,moneyness,pbv,pe,percent_change,percent_yield,theoretical,to_last_trade,underlying,underlying_price,updated_at,shares_outstanding
BCP,STOCK,CS,Open1,0,NULL,NULL,NULL,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.83,22.7,NULL,2.920000076,NULL,NULL,NULL,NULL,29:42.5,
BCPG,STOCK,CS,Open1,0,NULL,NULL,NULL,0.60732,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.56,9.47,NULL,4.869999886,NULL,NULL,NULL,NULL,29:44.7,
BCT,STOCK,CS,Open1,0,NULL,NULL,NULL,5.62928,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.62,5.71,NULL,2.069999933,NULL,NULL,NULL,NULL,29:46.9,
BDMS,STOCK,CS,Open1,0,NULL,NULL,NULL,1.00598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.77,23.56,NULL,3.160000086,NULL,NULL,NULL,NULL,29:49.1,
BE8,STOCK,CS,Open1,5000,NULL,12,-0.2,0.58,NULL,NULL,NULL,12,NULL,NULL,NULL,12,NULL,12,NULL,NULL,1.08,20.05,-1.64,2.049999952,NULL,NULL,NULL,NULL,29:51.4,
BEAUTY,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.03868,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.37,0,NULL,0,NULL,NULL,NULL,NULL,29:53.6,
BEC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.25,78.93,NULL,2.109999895,NULL,NULL,NULL,NULL,29:55.8,
BEM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.25,21.86,NULL,2.730000019,NULL,NULL,NULL,NULL,29:58.0,
BEYOND,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.1277,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.32,0,NULL,0,NULL,NULL,NULL,NULL,30:00.2,
BGC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.37261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.82,15.3,NULL,3.769999981,NULL,NULL,NULL,NULL,30:02.4,
BGRIM,STOCK,CS,Open1,0,NULL,NULL,NULL,0.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.86,19.93,NULL,3.609999895,NULL,NULL,NULL,NULL,30:07.6,
BGT,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.02383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,0,NULL,0,NULL,NULL,NULL,NULL,30:09.8,
BH,STOCK,CS,Open1,0,NULL,NULL,NULL,9.78093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.05,17.86,NULL,2.869999886,NULL,NULL,NULL,NULL,30:11.9,
BIG,STOCK,CS,Open1,0,NULL,NULL,NULL,0.02995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,10.68,NULL,4.690000057,NULL,NULL,NULL,NULL,30:14.1,
BIOTEC,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.0271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,0,NULL,0,NULL,NULL,NULL,NULL,30:16.3,
BIS,STOCK,CS,Open1,0,NULL,NULL,NULL,0.207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.01,12.46,NULL,5.429999828,NULL,NULL,NULL,NULL,30:18.5,
